GroupID,UserID,Condition,GroupSize,TimeOnPage
G001,U001,B,7,47.18
G001,U002,B,7,53.78
G001,U003,B,7,48.52
G001,U004,B,7,51.19
G001,U005,B,7,43.34
G001,U006,B,7,42.08
G001,U007,B,7,49.44
G002,U008,A,6,44.92
G002,U009,A,6,43.9
G002,U010,A,6,47.14
G002,U011,A,6,41.13
G002,U012,A,6,53.08
G002,U013,A,6,53.52
G003,U014,A,10,52.26
G003,U015,A,10,57.09
G003,U016,A,10,52.19
G003,U017,A,10,55.8
G003,U018,A,10,53.43
G003,U019,A,10,53.54
G003,U020,A,10,49.78
G003,U021,A,10,49.95
G003,U022,A,10,53.44
G003,U023,A,10,50.8
G004,U024,A,7,49.11
G004,U025,A,7,49.62
G004,U026,A,7,49.88
G004,U027,A,7,45.88
G004,U028,A,7,50.87
G004,U029,A,7,41.04
G004,U030,A,7,51.08
G005,U031,B,7,44.81
G005,U032,B,7,35.84
G005,U033,B,7,43.36
G005,U034,B,7,42.87
G005,U035,B,7,47.48
G005,U036,B,7,37.84
G005,U037,B,7,40.68
G006,U038,A,9,53.99
G006,U039,A,9,49.78
G006,U040,A,9,51.62
G006,U041,A,9,53.03
G006,U042,A,9,57.75
G006,U043,A,9,48.94
G006,U044,A,9,54.1
G006,U045,A,9,45.81
G006,U046,A,9,52.22
G007,U047,A,8,54.37
G007,U048,A,8,51.87
G007,U049,A,8,53.48
G007,U050,A,8,54.97
G007,U051,A,8,43.66
G007,U052,A,8,52.91
G007,U053,A,8,53.56
G007,U054,A,8,55.16
G008,U055,B,7,42.94
G008,U056,B,7,50.98
G008,U057,B,7,57.02
G008,U058,B,7,43.76
G008,U059,B,7,54.02
G008,U060,B,7,48.25
G008,U061,B,7,50.93
G009,U062,A,6,69.93
G009,U063,A,6,59.36
G009,U064,A,6,65.0
G009,U065,A,6,59.04
G009,U066,A,6,71.07
G009,U067,A,6,62.07
G010,U068,A,8,51.03
G010,U069,A,8,60.22
G010,U070,A,8,50.52
G010,U071,A,8,54.98
G010,U072,A,8,54.01
G010,U073,A,8,59.85
G010,U074,A,8,52.29
G010,U075,A,8,48.31
